radius  u   sigma_rr   sigma_tt   sigma_zz  eps_rr   eps_tt   eps_zz  eps_p_rr   eps_p_tt   eps_p_zz
3.8323  2.56403e-05   0.000692674   0.0141118   0.0029609   -1.36094e-06   6.69057e-06   0   -4.23516e-22   0   -4.23516e-22
3.8284  2.56456e-05   0.000679018   0.0141255   0.00296091   -1.36914e-06   6.69877e-06   0   -6.35275e-22   -8.47033e-22   -6.35275e-22
3.8245  2.56509e-05   0.00066532   0.0141393   0.00296091   -1.37736e-06   6.707e-06   0   -2.11758e-22   8.47033e-22   -4.23516e-22
3.8206  2.56563e-05   0.00065158   0.014153   0.00296092   -1.3856e-06   6.71526e-06   0   -2.11758e-22   -8.47033e-22   -2.11758e-22
3.8167  2.56617e-05   0.000637798   0.0141668   0.00296093   -1.39388e-06   6.72354e-06   0   -4.23516e-22   0   -4.23516e-22
3.8128  2.56672e-05   0.000623973   0.0141807   0.00296093   -1.40217e-06   6.73185e-06   0   -6.35275e-22   0   -4.23516e-22
3.8089  2.56727e-05   0.000610107   0.0141946   0.00296094   -1.4105e-06   6.74018e-06   0   -4.23516e-22   -8.47033e-22   -4.23516e-22
3.805  2.56782e-05   0.000596197   0.0142085   0.00296094   -1.41885e-06   6.74854e-06   0   -6.35275e-22   0   -4.23516e-22
3.8011  2.56837e-05   0.000582245   0.0142225   0.00296095   -1.42722e-06   6.75693e-06   0   -6.35275e-22   8.47033e-22   -4.23516e-22
3.7972  2.56893e-05   0.00056825   0.0142365   0.00296095   -1.43562e-06   6.76534e-06   0   -4.23516e-22   -8.47033e-22   -2.11758e-22
3.7933  2.56949e-05   0.000554212   0.0142506   0.00296096   -1.44405e-06   6.77377e-06   0   -6.35275e-22   0   -4.23516e-22
3.7894  2.57006e-05   0.00054013   0.0142647   0.00296096   -1.4525e-06   6.78223e-06   0   -4.23516e-22   -8.47033e-22   -4.23516e-22
3.7855  2.57063e-05   0.000526005   0.0142788   0.00296097   -1.46098e-06   6.79072e-06   0   -4.23516e-22   8.47033e-22   -4.23516e-22
3.7816  2.5712e-05   0.000511836   0.014293   0.00296097   -1.46948e-06   6.79924e-06   0   -4.23516e-22   -8.47033e-22   -4.23516e-22
3.7777  2.57177e-05   0.000497623   0.0143073   0.00296098   -1.47801e-06   6.80778e-06   0   -6.35275e-22   0   -4.23516e-22
3.7738  2.57235e-05   0.000483367   0.0143216   0.00296099   -1.48657e-06   6.81634e-06   0   -2.11758e-22   -8.47033e-22   -2.11758e-22
3.7699  2.57293e-05   0.000469066   0.0143359   0.00296099   -1.49515e-06   6.82494e-06   0   -4.23516e-22   8.47033e-22   -4.23516e-22
3.766  2.57352e-05   0.00045472   0.0143503   0.002961   -1.50377e-06   6.83356e-06   0   -6.35275e-22   0   -6.35275e-22
3.7621  2.57411e-05   0.00044033   0.0143647   0.002961   -1.5124e-06   6.84221e-06   0   -6.35275e-22   -8.47033e-22   -6.35275e-22
3.7582  2.5747e-05   0.000425896   0.0143791   0.00296101   -1.52107e-06   6.85088e-06   0   -4.23516e-22   -8.47033e-22   -4.23516e-22
3.7543  2.57529e-05   0.000411416   0.0143936   0.00296101   -1.52976e-06   6.85958e-06   0   -2.11758e-22   -8.47033e-22   -2.11758e-22
3.7504  2.57589e-05   0.000396891   0.0144082   0.00296102   -1.53848e-06   6.86831e-06   0   -6.35275e-22   0   -6.35275e-22
3.7465  2.57649e-05   0.000382321   0.0144228   0.00296102   -1.54722e-06   6.87707e-06   0   -2.11758e-22   8.47033e-22   -2.11758e-22
3.7426  2.5771e-05   0.000367705   0.0144374   0.00296103   -1.55599e-06   6.88585e-06   0   -6.35275e-22   -1.69407e-21   -4.23516e-22
3.7387  2.57771e-05   0.000353044   0.0144521   0.00296104   -1.5648e-06   6.89466e-06   0   -2.11758e-22   -8.47033e-22   -2.11758e-22
3.7348  2.57832e-05   0.000338336   0.0144669   0.00296104   -1.57362e-06   6.9035e-06   0   -4.23516e-22   -8.47033e-22   -4.23516e-22
3.7309  2.57893e-05   0.000323583   0.0144817   0.00296105   -1.58248e-06   6.91236e-06   0   -4.23516e-22   0   -2.11758e-22
3.727  2.57955e-05   0.000308783   0.0144965   0.00296105   -1.59136e-06   6.92126e-06   0   -6.35275e-22   -8.47033e-22   -6.35275e-22
3.7231  2.58018e-05   0.000293937   0.0145114   0.00296106   -1.60027e-06   6.93018e-06   0   -8.47033e-22   0   -8.47033e-22
3.7192  2.5808e-05   0.000279044   0.0145263   0.00296106   -1.60921e-06   6.93913e-06   0   -6.35275e-22   0   -6.35275e-22
3.7153  2.58143e-05   0.000264104   0.0145412   0.00296107   -1.61818e-06   6.94811e-06   0   -4.23516e-22   8.47033e-22   -2.11758e-22
3.7114  2.58206e-05   0.000249117   0.0145563   0.00296108   -1.62718e-06   6.95711e-06   0   -4.23516e-22   0   -2.11758e-22
3.7075  2.5827e-05   0.000234083   0.0145713   0.00296108   -1.6362e-06   6.96615e-06   0   -8.47033e-22   0   -6.35275e-22
3.7036  2.58334e-05   0.000219001   0.0145864   0.00296109   -1.64525e-06   6.97521e-06   0   -6.35275e-22   -8.47033e-22   -6.35275e-22
3.6997  2.58398e-05   0.000203872   0.0146016   0.00296109   -1.65433e-06   6.9843e-06   0   -8.47033e-22   0   -8.47033e-22
3.6958  2.58463e-05   0.000188695   0.0146168   0.0029611   -1.66344e-06   6.99342e-06   0   -2.11758e-22   -8.47033e-22   -2.11758e-22
3.6919  2.58528e-05   0.000173469   0.0146321   0.00296111   -1.67258e-06   7.00257e-06   0   -4.23516e-22   0   -4.23516e-22
3.688  2.58593e-05   0.000158196   0.0146474   0.00296111   -1.68175e-06   7.01175e-06   0   -2.11758e-22   8.47033e-22   -2.11758e-22
3.6841  2.58659e-05   0.000142874   0.0146627   0.00296112   -1.69095e-06   7.02096e-06   0   -6.35275e-22   0   -4.23516e-22
3.6802  2.58725e-05   0.000127503   0.0146781   0.00296112   -1.70017e-06   7.0302e-06   0   -6.35275e-22   -8.47033e-22   -6.35275e-22
3.6763  2.58792e-05   0.000112083   0.0146936   0.00296113   -1.70943e-06   7.03946e-06   0   -6.35275e-22   -8.47033e-22   -4.23516e-22
3.6724  2.58859e-05   9.66147e-05   0.0147091   0.00296114   -1.71871e-06   7.04876e-06   0   -4.23516e-22   8.47033e-22   -2.11758e-22
3.6685  2.58926e-05   8.10966e-05   0.0147246   0.00296114   -1.72803e-06   7.05809e-06   0   -4.23516e-22   -8.47033e-22   -4.23516e-22
3.6646  2.58993e-05   6.5529e-05   0.0147402   0.00296115   -1.73737e-06   7.06744e-06   0   -2.11758e-22   0   -2.11758e-22
3.6607  2.59061e-05   4.99116e-05   0.0147559   0.00296116   -1.74675e-06   7.07683e-06   0   -8.47033e-22   0   -6.35275e-22
3.6568  2.5913e-05   3.42444e-05   0.0147716   0.00296116   -1.75615e-06   7.08624e-06   0   -4.23516e-22   0   -4.23516e-22
3.6529  2.59198e-05   1.85269e-05   0.0147873   0.00296117   -1.76558e-06   7.09569e-06   0   -6.35275e-22   0   -4.23516e-22
3.649  2.59267e-05   2.75909e-06   0.0148031   0.00296117   -1.77505e-06   7.10516e-06   0   -6.35275e-22   0   -6.35275e-22
3.6451  2.59337e-05   -1.30593e-05   0.014819   0.00296118   -1.78454e-06   7.11467e-06   0   -4.23516e-22   0   -4.23516e-22
3.6412  2.59407e-05   -2.89285e-05   0.0148349   0.00296119   -1.79407e-06   7.12421e-06   0   -6.35275e-22   0   -4.23516e-22
3.6373  2.59477e-05   -4.48488e-05   0.0148508   0.00296119   -1.80363e-06   7.13377e-06   0   -2.11758e-22   0   -4.23516e-22
3.6334  2.59547e-05   -6.08203e-05   0.0148668   0.0029612   -1.81321e-06   7.14337e-06   0   -4.23516e-22   0   -4.23516e-22
3.6295  2.59618e-05   -7.68432e-05   0.0148829   0.00296121   -1.82283e-06   7.153e-06   0   -6.35275e-22   0   -4.23516e-22
3.6256  2.59689e-05   -9.29179e-05   0.014899   0.00296121   -1.83248e-06   7.16266e-06   0   -4.23516e-22   -8.47033e-22   -2.11758e-22
3.6217  2.59761e-05   -0.000109044   0.0149151   0.00296122   -1.84216e-06   7.17235e-06   0   -4.23516e-22   0   -4.23516e-22
3.6178  2.59833e-05   -0.000125223   0.0149314   0.00296123   -1.85187e-06   7.18208e-06   0   -4.23516e-22   0   -2.11758e-22
3.6139  2.59906e-05   -0.000141454   0.0149476   0.00296123   -1.86161e-06   7.19183e-06   0   -4.23516e-22   0   -4.23516e-22
3.61  2.59978e-05   -0.000157738   0.0149639   0.00296124   -1.87139e-06   7.20162e-06   0   -4.23516e-22   0   -4.23516e-22
3.6061  2.60052e-05   -0.000174074   0.0149803   0.00296125   -1.88119e-06   7.21143e-06   0   -4.23516e-22   0   -4.23516e-22
3.6022  2.60125e-05   -0.000190464   0.0149967   0.00296125   -1.89103e-06   7.22128e-06   0   -6.35275e-22   0   -4.23516e-22
3.5983  2.60199e-05   -0.000206906   0.0150132   0.00296126   -1.9009e-06   7.23117e-06   0   -4.23516e-22   -8.47033e-22   -4.23516e-22
3.5944  2.60273e-05   -0.000223403   0.0150297   0.00296127   -1.9108e-06   7.24108e-06   0   -4.23516e-22   0   0
3.5905  2.60348e-05   -0.000239953   0.0150463   0.00296127   -1.92074e-06   7.25103e-06   0   -4.23516e-22   0   -2.11758e-22
3.5866  2.60423e-05   -0.000256557   0.015063   0.00296128   -1.9307e-06   7.261e-06   0   -8.47033e-22   8.47033e-22   -6.35275e-22
3.5827  2.60499e-05   -0.000273215   0.0150796   0.00296129   -1.9407e-06   7.27102e-06   0   -4.23516e-22   0   -4.23516e-22
3.5788  2.60575e-05   -0.000289927   0.0150964   0.00296129   -1.95073e-06   7.28106e-06   0   -8.47033e-22   0   -8.47033e-22
3.5749  2.60651e-05   -0.000306695   0.0151132   0.0029613   -1.9608e-06   7.29114e-06   0   -4.23516e-22   0   -2.11758e-22
3.571  2.60728e-05   -0.000323517   0.0151301   0.00296131   -1.97089e-06   7.30125e-06   0   0   -8.47033e-22   -2.11758e-22
3.5671  2.60805e-05   -0.000340394   0.015147   0.00296131   -1.98102e-06   7.31139e-06   0   -4.23516e-22   -8.47033e-22   -2.11758e-22
3.5632  2.60882e-05   -0.000357327   0.0151639   0.00296132   -1.99119e-06   7.32157e-06   0   -4.23516e-22   8.47033e-22   -4.23516e-22
3.5593  2.6096e-05   -0.000374315   0.015181   0.00296133   -2.00139e-06   7.33178e-06   0   -4.23516e-22   -8.47033e-22   -4.23516e-22
3.5554  2.61038e-05   -0.000391359   0.015198   0.00296133   -2.01162e-06   7.34202e-06   0   -4.23516e-22   -8.47033e-22   -6.35275e-22
3.5515  2.61117e-05   -0.00040846   0.0152152   0.00296134   -2.02188e-06   7.3523e-06   0   -8.47033e-22   8.47033e-22   -4.23516e-22
3.5476  2.61196e-05   -0.000425616   0.0152324   0.00296135   -2.03218e-06   7.36261e-06   0   -4.23516e-22   1.69407e-21   -2.11758e-22
3.5437  2.61275e-05   -0.00044283   0.0152496   0.00296136   -2.04251e-06   7.37295e-06   0   -4.23516e-22   8.47033e-22   -4.23516e-22
3.5398  2.61355e-05   -0.0004601   0.0152669   0.00296136   -2.05288e-06   7.38333e-06   0   -8.47033e-22   0   -6.35275e-22
3.5359  2.61435e-05   -0.000477427   0.0152843   0.00296137   -2.06328e-06   7.39375e-06   0   -4.23516e-22   -8.47033e-22   -4.23516e-22
3.532  2.61516e-05   -0.000494812   0.0153017   0.00296138   -2.07371e-06   7.40419e-06   0   -4.23516e-22   -8.47033e-22   -2.11758e-22
3.5281  2.61597e-05   -0.000512254   0.0153192   0.00296138   -2.08418e-06   7.41468e-06   0   -4.23516e-22   0   -4.23516e-22
3.5242  2.61679e-05   -0.000529755   0.0153367   0.00296139   -2.09469e-06   7.42519e-06   0   -8.47033e-22   8.47033e-22   -6.35275e-22
3.5203  2.61761e-05   -0.000547313   0.0153543   0.0029614   -2.10523e-06   7.43575e-06   0   -8.47033e-22   -8.47033e-22   -6.35275e-22
3.5164  2.61843e-05   -0.00056493   0.015372   0.00296141   -2.1158e-06   7.44633e-06   0   -4.23516e-22   8.47033e-22   -4.23516e-22
3.5125  2.61926e-05   -0.000582605   0.0153897   0.00296141   -2.12641e-06   7.45696e-06   0   -8.47033e-22   0   -6.35275e-22
3.5086  2.62009e-05   -0.00060034   0.0154074   0.00296142   -2.13706e-06   7.46762e-06   0   -4.23516e-22   0   -4.23516e-22
3.5047  2.62092e-05   -0.000618133   0.0154253   0.00296143   -2.14774e-06   7.47831e-06   0   -8.47033e-22   0   -6.35275e-22
3.5008  2.62176e-05   -0.000635986   0.0154432   0.00296144   -2.15845e-06   7.48904e-06   0   -8.47033e-22   -8.47033e-22   -6.35275e-22
3.4969  2.62261e-05   -0.000653899   0.0154611   0.00296144   -2.16921e-06   7.4998e-06   0   -4.23516e-22   0   -2.11758e-22
3.493  2.62345e-05   -0.000671871   0.0154791   0.00296145   -2.17999e-06   7.51061e-06   0   -4.23516e-22   8.47033e-22   -4.23516e-22
3.4891  2.62431e-05   -0.000689904   0.0154972   0.00296146   -2.19082e-06   7.52144e-06   0   -4.23516e-22   8.47033e-22   -4.23516e-22
3.4852  2.62516e-05   -0.000707998   0.0155153   0.00296147   -2.20168e-06   7.53232e-06   0   0   0   -2.11758e-22
3.4813  2.62602e-05   -0.000726152   0.0155335   0.00296147   -2.21258e-06   7.54323e-06   0   -4.23516e-22   -1.69407e-21   -4.23516e-22
3.4774  2.62689e-05   -0.000744367   0.0155518   0.00296148   -2.22351e-06   7.55418e-06   0   -4.23516e-22   0   -4.23516e-22
3.4735  2.62776e-05   -0.000762644   0.0155701   0.00296149   -2.23448e-06   7.56516e-06   0   -4.23516e-22   -8.47033e-22   -4.23516e-22
3.4696  2.62863e-05   -0.000780982   0.0155885   0.0029615   -2.24549e-06   7.57618e-06   0   0   8.47033e-22   0
3.4657  2.62951e-05   -0.000799382   0.0156069   0.00296151   -2.25653e-06   7.58724e-06   0   -8.47033e-22   0   -6.35275e-22
3.4618  2.63039e-05   -0.000817844   0.0156254   0.00296151   -2.26761e-06   7.59834e-06   0   -4.23516e-22   0   -4.23516e-22
3.4579  2.63128e-05   -0.000836369   0.015644   0.00296152   -2.27873e-06   7.60947e-06   0   -4.23516e-22   -8.47033e-22   -4.23516e-22
3.454  2.63217e-05   -0.000854956   0.0156626   0.00296153   -2.28989e-06   7.62064e-06   0   -4.23516e-22   -8.47033e-22   -4.23516e-22
3.4501  2.63307e-05   -0.000873607   0.0156813   0.00296154   -2.30109e-06   7.63185e-06   0   -4.23516e-22   0   -6.35275e-22
