radius  u   sigma_rr   sigma_tt   sigma_zz  eps_rr   eps_tt   eps_zz  eps_p_rr   eps_p_tt   eps_p_zz
3.98167  2.14862e-05   -0.00636311   0.00965148   0.000657674   -4.21247e-06   5.39628e-06   0   0   8.47033e-22   -2.11758e-22
3.98128  2.14879e-05   -0.00636468   0.00965304   0.000657674   -4.21341e-06   5.39722e-06   0   0   0   5.29396e-23
3.98089  2.14895e-05   -0.00636625   0.00965461   0.000657674   -4.21435e-06   5.39816e-06   0   0   -8.47033e-22   -2.11758e-22
3.9805  2.14911e-05   -0.00636782   0.00965618   0.000657674   -4.21529e-06   5.39911e-06   0   0   0   -1.05879e-22
3.98011  2.14928e-05   -0.00636939   0.00965775   0.000657674   -4.21624e-06   5.40005e-06   0   0   0   5.29396e-23
3.97972  2.14944e-05   -0.00637096   0.00965932   0.000657674   -4.21718e-06   5.40099e-06   0   -8.47033e-22   0   -1.58819e-22
3.97933  2.14961e-05   -0.00637253   0.0096609   0.000657674   -4.21812e-06   5.40193e-06   0   -8.47033e-22   0   0
3.97894  2.14977e-05   -0.0063741   0.00966247   0.000657674   -4.21906e-06   5.40288e-06   0   -8.47033e-22   -8.47033e-22   -5.29396e-23
3.97855  2.14994e-05   -0.00637567   0.00966404   0.000657674   -4.22001e-06   5.40382e-06   0   0   -8.47033e-22   -1.58819e-22
3.97816  2.1501e-05   -0.00637724   0.00966561   0.000657674   -4.22095e-06   5.40476e-06   0   0   8.47033e-22   -3.70577e-22
3.97777  2.15027e-05   -0.00637881   0.00966719   0.000657674   -4.22189e-06   5.40571e-06   0   0   8.47033e-22   -5.29396e-23
3.97738  2.15043e-05   -0.00638039   0.00966876   0.000657674   -4.22284e-06   5.40665e-06   0   -8.47033e-22   8.47033e-22   -1.58819e-22
3.97699  2.1506e-05   -0.00638196   0.00967033   0.000657674   -4.22378e-06   5.4076e-06   0   0   0   -1.58819e-22
3.9766  2.15076e-05   -0.00638354   0.00967191   0.000657674   -4.22473e-06   5.40854e-06   0   0   8.47033e-22   -5.29396e-23
3.97621  2.15092e-05   -0.00638511   0.00967348   0.000657674   -4.22567e-06   5.40948e-06   0   0   0   -5.29396e-23
3.97582  2.15109e-05   -0.00638669   0.00967506   0.000657674   -4.22662e-06   5.41043e-06   0   0   0   -1.05879e-22
3.97543  2.15125e-05   -0.00638826   0.00967663   0.000657674   -4.22756e-06   5.41138e-06   0   0   0   5.29396e-23
3.97504  2.15142e-05   -0.00638984   0.00967821   0.000657674   -4.22851e-06   5.41232e-06   0   -8.47033e-22   0   0
3.97465  2.15158e-05   -0.00639141   0.00967979   0.000657675   -4.22945e-06   5.41327e-06   0   0   0   -1.58819e-22
3.97426  2.15175e-05   -0.00639299   0.00968136   0.000657675   -4.2304e-06   5.41421e-06   0   0   0   -1.58819e-22
3.97387  2.15191e-05   -0.00639457   0.00968294   0.000657675   -4.23135e-06   5.41516e-06   0   0   0   0
3.97348  2.15208e-05   -0.00639615   0.00968452   0.000657675   -4.23229e-06   5.41611e-06   0   0   8.47033e-22   -5.29396e-23
3.97309  2.15224e-05   -0.00639772   0.0096861   0.000657675   -4.23324e-06   5.41705e-06   0   0   0   -5.29396e-23
3.9727  2.15241e-05   -0.0063993   0.00968768   0.000657675   -4.23419e-06   5.418e-06   0   0   0   -5.29396e-23
3.97231  2.15257e-05   -0.00640088   0.00968926   0.000657675   -4.23513e-06   5.41895e-06   0   0   0   -5.29396e-23
3.97192  2.15274e-05   -0.00640246   0.00969084   0.000657675   -4.23608e-06   5.4199e-06   0   0   0   -1.05879e-22
3.97153  2.1529e-05   -0.00640404   0.00969242   0.000657675   -4.23703e-06   5.42085e-06   0   -8.47033e-22   0   0
3.97114  2.15307e-05   -0.00640562   0.009694   0.000657675   -4.23798e-06   5.42179e-06   0   0   0   -5.29396e-23
3.97075  2.15324e-05   -0.0064072   0.00969558   0.000657675   -4.23893e-06   5.42274e-06   0   -8.47033e-22   0   0
3.97036  2.1534e-05   -0.00640879   0.00969716   0.000657675   -4.23988e-06   5.42369e-06   0   0   -8.47033e-22   -5.29396e-23
3.96997  2.15357e-05   -0.00641037   0.00969874   0.000657675   -4.24083e-06   5.42464e-06   0   0   0   -1.05879e-22
3.96958  2.15373e-05   -0.00641195   0.00970033   0.000657675   -4.24178e-06   5.42559e-06   0   0   0   -1.58819e-22
3.96919  2.1539e-05   -0.00641353   0.00970191   0.000657675   -4.24273e-06   5.42654e-06   0   0   0   0
3.9688  2.15406e-05   -0.00641512   0.00970349   0.000657675   -4.24368e-06   5.42749e-06   0   -8.47033e-22   0   0
3.96841  2.15423e-05   -0.0064167   0.00970508   0.000657675   -4.24463e-06   5.42844e-06   0   -8.47033e-22   0   0
3.96802  2.15439e-05   -0.00641828   0.00970666   0.000657676   -4.24558e-06   5.42939e-06   0   0   0   -1.58819e-22
3.96763  2.15456e-05   -0.00641987   0.00970825   0.000657676   -4.24653e-06   5.43034e-06   0   0   0   -1.05879e-22
3.96724  2.15472e-05   -0.00642145   0.00970983   0.000657676   -4.24748e-06   5.43129e-06   0   0   -8.47033e-22   -5.29396e-23
3.96685  2.15489e-05   -0.00642304   0.00971142   0.000657676   -4.24843e-06   5.43225e-06   0   0   0   -1.58819e-22
